label,z,x,y,area,mean_intensity_0,mean_intensity_1,mean_intensity_2,mean_intensity_3,cell_type,color,legend
33,4.0,17.0,184.0,2937.0,497.60095335376235,27.977187606401092,30.78447395301329,96.94347974123257,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
34,11.0,5.0,955.0,2795.0,545.2239713774597,39.32379248658319,189.99713774597492,124.97137745974956,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
35,0.0,16.0,984.0,103.0,511.5145631067961,44.38834951456311,24.466019417475728,87.01941747572815,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
36,1.0,21.0,19.0,509.0,582.3850687622789,17.96463654223968,19.390962671905697,229.88212180746558,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
37,5.0,22.0,316.0,2441.0,1226.5559197050388,37.72019664072101,119.24416222859483,259.344121261778,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
38,10.0,17.0,895.0,2541.0,646.7170405352224,47.198740653286116,185.5501770956316,158.44667453758362,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
39,13.0,26.0,754.0,5569.0,1114.1089962291258,39.63871431136649,61.07900879870713,371.9622912551625,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
40,4.0,24.0,874.0,1985.0,971.9727959697733,38.643828715365245,48.36272040302267,291.58488664987414,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
41,3.0,30.0,597.0,2227.0,686.7418051189942,49.50067355186349,39.70498428378985,124.06241580601706,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
42,9.0,29.0,140.0,6276.0,621.839228808158,27.73390694710007,40.72100063734863,76.13655194391332,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
43,9.0,29.0,678.0,4525.0,914.7109392265194,153.50099447513813,302.29082872928177,166.83690607734806,3,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)",3
44,7.0,25.0,969.0,1648.0,869.8088592233009,35.390169902912625,52.14563106796116,304.7020631067961,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
